method,offset,target,flowdroid-trans,flowdroid-direct,flowdroid-trans#depth_from_main,flowdroid-trans#src_node_in_deg,flowdroid-trans#dest_node_out_deg,flowdroid-trans#dest_node_in_deg,flowdroid-trans#src_node_out_deg,flowdroid-trans#repeated_edges,flowdroid-trans#node_disjoint_paths_from_main,flowdroid-trans#edge_disjoint_paths_from_main,flowdroid-trans#fanout,flowdroid-trans#min_fanout,flowdroid-trans#graph_node_count,flowdroid-trans#graph_edge_count,flowdroid-trans#graph_avg_deg,flowdroid-trans#graph_avg_edge_fanout,flowdroid-direct#depth_from_main,flowdroid-direct#src_node_in_deg,flowdroid-direct#dest_node_out_deg,flowdroid-direct#dest_node_in_deg,flowdroid-direct#src_node_out_deg,flowdroid-direct#repeated_edges,flowdroid-direct#node_disjoint_paths_from_main,flowdroid-direct#edge_disjoint_paths_from_main,flowdroid-direct#fanout,flowdroid-direct#min_fanout,flowdroid-direct#graph_node_count,flowdroid-direct#graph_edge_count,flowdroid-direct#graph_avg_deg,flowdroid-direct#graph_avg_edge_fanout,wiretap
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable getDrawable(android.content.Context,int,boolean)>",xxx,<androidx.core.content.ContextCompat: void <clinit>()>,1.0,1.0,10.0,2.0,1.0,32.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,10.0,2.0,1.0,32.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.facebook.soloader.UnpackingSoSource$1: void run()>,xxx,"<com.facebook.soloader.UnpackingSoSource: void access$000(java.io.File,byte)>",1.0,1.0,5.0,187.0,1.0,1.0,18.0,1.0,1.0,-1.0,18.0,18.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,187.0,1.0,1.0,18.0,1.0,1.0,-1.0,18.0,18.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.microsoft.codepush.react.CodePush: java.lang.String getJSBundleFileInternal(java.lang.String)>,xxx,<com.microsoft.codepush.react.CodePush: void <clinit>()>,1.0,1.0,7.0,2.0,0.0,14.0,12.0,1.0,1.0,-1.0,12.0,12.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,2.0,0.0,14.0,12.0,1.0,1.0,-1.0,12.0,12.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
"<com.google.firebase.messaging.GmsRpc: android.os.Bundle setDefaultAttributesToBundle(java.lang.String,java.lang.String,java.lang.String,android.os.Bundle)>",xxx,<com.google.firebase.components.Lazy: java.lang.Object get()>,1.0,1.0,10.0,1.0,12.0,15.0,32.0,1.0,1.0,-1.0,32.0,32.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,10.0,1.0,12.0,15.0,32.0,1.0,1.0,-1.0,32.0,32.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry getMultiProcessSafePrefs()>,xxx,<com.google.firebase.FirebaseApp: android.content.Context getApplicationContext()>,1.0,1.0,8.0,2.0,1.0,14.0,5.0,1.0,1.0,-1.0,5.0,5.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,8.0,2.0,1.0,14.0,5.0,1.0,1.0,-1.0,5.0,5.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.android.gms.tasks.zzr: void zza(com.google.android.gms.tasks.Task)>,xxx,<com.google.android.gms.tasks.zzm: void onComplete(com.google.android.gms.tasks.Task)>,1.0,1.0,7.0,6.0,58.0,1.0,24.0,1.0,1.0,-1.0,24.0,24.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,6.0,58.0,1.0,24.0,1.0,1.0,-1.0,24.0,24.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
"<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory create(javax.inject.Provider,javax.inject.Provider,javax.inject.Provider,javax.inject.Provider)>",xxx,"<com.google.android.datatransport.runtime.scheduling.persistence.SQLiteEventStore_Factory: void <init>(javax.inject.Provider,javax.inject.Provider,javax.inject.Provider,javax.inject.Provider)>",1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,15.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.facebook.react.PackageList: void <init>(com.facebook.react.ReactNativeHost)>,xxx,"<com.facebook.react.PackageList: void <init>(com.facebook.react.ReactNativeHost,com.facebook.react.shell.MainPackageConfig)>",1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.facebook.react.PackageList: java.util.ArrayList getPackages()>,xxx,<com.facebook.react.shell.MainReactPackage: void <init>(com.facebook.react.shell.MainPackageConfig)>,1.0,1.0,5.0,1.0,1.0,1.0,32.0,1.0,1.0,-1.0,32.0,32.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,1.0,1.0,1.0,32.0,1.0,1.0,-1.0,32.0,32.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.appcompat.widget.AppCompatDrawableManager: void preload()>,xxx,<androidx.appcompat.widget.AppCompatDrawableManager: void <clinit>()>,1.0,1.0,8.0,2.0,1.0,18.0,6.0,1.0,1.0,-1.0,6.0,6.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,8.0,2.0,1.0,18.0,6.0,1.0,1.0,-1.0,6.0,6.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
"<androidx.appcompat.widget.ContentFrameLayout: void setDecorPadding(int,int,int,int)>",xxx,<androidx.core.view.ViewCompat: boolean isLaidOut(android.view.View)>,1.0,1.0,10.0,1.0,4.0,12.0,4.0,1.0,1.0,-1.0,4.0,4.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,10.0,1.0,4.0,12.0,4.0,1.0,1.0,-1.0,4.0,4.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.firebase.messaging.SyncTask: void run()>,xxx,<com.google.firebase.messaging.FirebaseMessaging: boolean isGmsCorePresent()>,1.0,1.0,5.0,186.0,1.0,1.0,22.0,1.0,1.0,-1.0,22.0,22.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,186.0,1.0,1.0,22.0,1.0,1.0,-1.0,22.0,22.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.appcompat.app.AppCompatDelegateImpl: void attachToWindow(android.view.Window)>,xxx,<androidx.appcompat.app.AppCompatDelegate: void <clinit>()>,1.0,1.0,7.0,2.0,3.0,15.0,7.0,1.0,1.0,-1.0,7.0,7.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,2.0,3.0,15.0,7.0,1.0,1.0,-1.0,7.0,7.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.facebook.react.ReactNativeHost: com.facebook.react.ReactInstanceManager createReactInstanceManager()>,xxx,<com.clubworx.production.MainApplication$1: java.lang.String getJSBundleFile()>,1.0,1.0,3.0,1.0,2.0,1.0,332.0,1.0,1.0,-1.0,332.0,332.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,3.0,1.0,2.0,1.0,332.0,1.0,1.0,-1.0,332.0,332.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<androidx.fragment.app.FragmentActivity: void <init>()>,xxx,<androidx.activity.ComponentActivity: void <init>()>,1.0,1.0,5.0,1.0,13.0,1.0,4.0,1.0,1.0,-1.0,4.0,4.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,1.0,13.0,1.0,4.0,1.0,1.0,-1.0,4.0,4.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.fragment.app.FragmentManager: void dispatchStateChange(int)>,xxx,<androidx.fragment.app.FragmentManager: boolean execPendingActions(boolean)>,1.0,1.0,6.0,8.0,7.0,9.0,3.0,1.0,1.0,-1.0,3.0,3.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,6.0,8.0,7.0,9.0,3.0,1.0,1.0,-1.0,3.0,3.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.clubworx.production.generated.BasePackageList: java.util.List getPackageList()>,xxx,<expo.modules.location.LocationPackage: void <init>()>,1.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,-1.0,7.0,7.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,2.0,1.0,1.0,1.0,7.0,1.0,1.0,-1.0,7.0,7.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
"<com.facebook.react.ReactInstanceManager: void recreateReactContextInBackground(com.facebook.react.bridge.JavaScriptExecutorFactory,com.facebook.react.bridge.JSBundleLoader)>",xxx,"<com.facebook.common.logging.FLog: void d(java.lang.String,java.lang.String)>",1.0,1.0,7.0,3.0,3.0,28.0,5.0,1.0,1.0,-1.0,5.0,5.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,3.0,3.0,28.0,5.0,1.0,1.0,-1.0,5.0,5.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.firebase.platforminfo.'-$$Lambda$LibraryVersionComponent$Dl2UOJASySXKbW5tJLYAdrR74MU': java.lang.Object create(com.google.firebase.components.ComponentContainer)>,xxx,"<com.google.firebase.platforminfo.LibraryVersionComponent: com.google.firebase.platforminfo.LibraryVersion lambda$fromContext$0(java.lang.String,com.google.firebase.platforminfo.LibraryVersionComponent$VersionExtractor,com.google.firebase.components.ComponentContainer)>",1.0,1.0,10.0,1.0,8.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,10.0,1.0,8.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.Uploader get()>,xxx,<com.google.android.datatransport.runtime.scheduling.persistence.EventStoreModule_DbNameFactory: java.lang.String get()>,1.0,1.0,4.0,22.0,1.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,22.0,1.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<io.sentry.android.core.SentryPerformanceProvider: void <init>()>,xxx,<io.sentry.android.core.AppStartState: io.sentry.android.core.AppStartState getInstance()>,1.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,-1.0,5.0,5.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1.0,2.0,1.0,4.0,5.0,1.0,1.0,-1.0,5.0,5.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.android.datatransport.runtime.scheduling.jobscheduling.SchedulerConfig: com.google.android.datatransport.runtime.scheduling.jobscheduling.SchedulerConfig getDefault(com.google.android.datatransport.runtime.time.Clock)>,xxx,<com.google.android.datatransport.runtime.scheduling.jobscheduling.SchedulerConfig: java.util.Set immutableSetOf(java.lang.Object[])>,1.0,1.0,7.0,1.0,4.0,1.0,12.0,1.0,1.0,-1.0,12.0,12.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,1.0,4.0,1.0,12.0,1.0,1.0,-1.0,12.0,12.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.lifecycle.LifecycleRegistry: androidx.lifecycle.Lifecycle$Event upEvent(androidx.lifecycle.Lifecycle$State)>,xxx,<androidx.lifecycle.Lifecycle$Event: void <clinit>()>,1.0,1.0,8.0,2.0,1.0,31.0,9.0,1.0,1.0,-1.0,9.0,9.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,8.0,2.0,1.0,31.0,9.0,1.0,1.0,-1.0,9.0,9.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.google.firebase.installations.local.PersistedInstallationEntry: com.google.firebase.installations.local.PersistedInstallationEntry$Builder builder()>,xxx,<com.google.firebase.installations.local.AutoValue_PersistedInstallationEntry$Builder: com.google.firebase.installations.local.PersistedInstallationEntry$Builder setTokenCreationEpochInSecs(long)>,1.0,1.0,10.0,2.0,2.0,4.0,5.0,1.0,1.0,-1.0,5.0,5.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,10.0,2.0,2.0,4.0,5.0,1.0,1.0,-1.0,5.0,5.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<expo.modules.permissions.PermissionsPackage: void <init>()>,xxx,<org.unimodules.core.BasePackage: void <init>()>,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,3.0,1.0,1.0,7.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
"<com.facebook.soloader.ApkSoSource$ApkUnpacker: void <init>(com.facebook.soloader.ApkSoSource,com.facebook.soloader.ExtractFromZipSoSource)>",xxx,"<com.facebook.soloader.ExtractFromZipSoSource$ZipUnpacker: void <init>(com.facebook.soloader.ExtractFromZipSoSource,com.facebook.soloader.UnpackingSoSource)>",1.0,1.0,9.0,1.0,2.0,2.0,5.0,1.0,1.0,-1.0,5.0,5.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,9.0,1.0,2.0,2.0,5.0,1.0,1.0,-1.0,5.0,5.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.facebook.react.PackageList: java.util.ArrayList getPackages()>,xxx,<io.sentry.react.RNSentryPackage: void <init>()>,1.0,1.0,5.0,1.0,1.0,1.0,32.0,1.0,1.0,-1.0,32.0,32.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,1.0,1.0,1.0,32.0,1.0,1.0,-1.0,32.0,32.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.android.datatransport.runtime.scheduling.SchedulingConfigModule_ConfigFactory: com.google.android.datatransport.runtime.scheduling.jobscheduling.SchedulerConfig get()>,xxx,<com.google.android.datatransport.runtime.dagger.internal.DoubleCheck: java.lang.Object get()>,1.0,1.0,4.0,22.0,28.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,22.0,28.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.google.firebase.messaging.SyncTask: void run()>,xxx,<com.google.firebase.messaging.SyncTask: boolean isDeviceConnected()>,1.0,1.0,5.0,186.0,8.0,2.0,22.0,1.0,1.0,-1.0,22.0,22.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,186.0,8.0,2.0,22.0,1.0,1.0,-1.0,22.0,22.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.firebase.installations.FirebaseInstallations: void lambda$getToken$1$FirebaseInstallations(boolean)>,xxx,<com.google.firebase.installations.FirebaseInstallations: void doRegistrationOrRefresh(boolean)>,1.0,1.0,6.0,1.0,18.0,2.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,6.0,1.0,18.0,2.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.appcompat.widget.ResourceManagerInternal: void checkVectorDrawableSetup(android.content.Context)>,xxx,<androidx.appcompat.widget.ResourceManagerInternal: void <clinit>()>,1.0,1.0,11.0,1.0,2.0,15.0,4.0,1.0,1.0,-1.0,4.0,4.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,11.0,1.0,2.0,15.0,4.0,1.0,1.0,-1.0,4.0,4.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
"<com.facebook.soloader.SoLoader: void doLoadLibraryBySoName(java.lang.String,int,android.os.StrictMode$ThreadPolicy)>",xxx,<com.facebook.soloader.ApplicationSoSource: java.io.File getNativeLibDirFromContext(android.content.Context)>,1.0,1.0,10.0,1.0,3.0,2.0,48.0,1.0,1.0,-1.0,48.0,48.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,10.0,1.0,3.0,2.0,48.0,1.0,1.0,-1.0,48.0,48.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry registerFidWithServer(com.google.firebase.installations.local.PersistedInstallationEntry)>,xxx,<com.google.firebase.installations.FirebaseInstallations: java.lang.String getProjectIdentifier()>,1.0,1.0,8.0,1.0,2.0,4.0,20.0,1.0,1.0,-1.0,20.0,20.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,8.0,1.0,2.0,4.0,20.0,1.0,1.0,-1.0,20.0,20.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.google.firebase.messaging.SyncTask: boolean maybeRefreshToken()>,xxx,<com.google.firebase.messaging.FirebaseMessaging: java.lang.String blockingGetToken()>,1.0,1.0,6.0,1.0,18.0,4.0,14.0,1.0,1.0,-1.0,14.0,14.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,6.0,1.0,18.0,4.0,14.0,1.0,1.0,-1.0,14.0,14.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.savedstate.SavedStateRegistryController: void performRestore(android.os.Bundle)>,xxx,<androidx.activity.ComponentActivity: androidx.lifecycle.Lifecycle getLifecycle()>,1.0,1.0,7.0,2.0,0.0,15.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,2.0,0.0,15.0,8.0,1.0,1.0,-1.0,8.0,8.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
"<androidx.appcompat.widget.ResourceManagerInternal: android.graphics.drawable.Drawable tintDrawable(android.content.Context,int,boolean,android.graphics.drawable.Drawable)>",xxx,"<androidx.appcompat.widget.ResourceManagerInternal: boolean tintDrawableUsingColorFilter(android.content.Context,int,android.graphics.drawable.Drawable)>",1.0,1.0,9.0,2.0,1.0,2.0,36.0,1.0,1.0,-1.0,36.0,36.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,9.0,2.0,1.0,2.0,36.0,1.0,1.0,-1.0,36.0,36.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.clubworx.production.MainApplication$1: java.lang.String getJSBundleFile()>,xxx,<com.microsoft.codepush.react.CodePush: java.lang.String getJSBundleFile()>,1.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,1.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.facebook.hermes.reactexecutor.HermesExecutor: void <clinit>()>,xxx,<com.facebook.soloader.SoLoader: void <clinit>()>,1.0,1.0,7.0,3.0,7.0,31.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,3.0,7.0,31.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<io.sentry.DateUtils: void <clinit>()>,xxx,<io.sentry.DateUtils$2: void <init>()>,1.0,1.0,2.0,21.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,3.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,2.0,21.0,1.0,1.0,3.0,1.0,1.0,-1.0,3.0,3.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
"<com.google.android.datatransport.runtime.scheduling.DefaultScheduler_Factory: com.google.android.datatransport.runtime.scheduling.DefaultScheduler_Factory create(javax.inject.Provider,javax.inject.Provider,javax.inject.Provider,javax.inject.Provider,javax.inject.Provider)>",xxx,"<com.google.android.datatransport.runtime.scheduling.DefaultScheduler_Factory: void <init>(javax.inject.Provider,javax.inject.Provider,javax.inject.Provider,javax.inject.Provider,javax.inject.Provider)>",1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,15.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.android.datatransport.runtime.backends.MetadataBackendRegistry_Factory: com.google.android.datatransport.runtime.backends.MetadataBackendRegistry get()>,xxx,<com.google.android.datatransport.runtime.scheduling.SchedulingConfigModule_ConfigFactory: com.google.android.datatransport.runtime.scheduling.jobscheduling.SchedulerConfig get()>,1.0,1.0,4.0,22.0,27.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,22.0,27.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.google.android.datatransport.runtime.scheduling.SchedulingModule_WorkSchedulerFactory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkScheduler get()>,xxx,<com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer_Factory: com.google.android.datatransport.runtime.scheduling.jobscheduling.WorkInitializer get()>,1.0,1.0,4.0,22.0,27.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,22.0,27.0,22.0,27.0,1.0,1.0,-1.0,27.0,27.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.google.firebase.installations.FirebaseInstallations: com.google.firebase.installations.local.PersistedInstallationEntry registerFidWithServer(com.google.firebase.installations.local.PersistedInstallationEntry)>,xxx,<com.google.firebase.installations.FirebaseInstallations: java.lang.String getApplicationId()>,1.0,1.0,8.0,1.0,2.0,2.0,20.0,1.0,1.0,-1.0,20.0,20.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,8.0,1.0,2.0,2.0,20.0,1.0,1.0,-1.0,20.0,20.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<androidx.lifecycle.ProcessLifecycleOwnerInitializer: boolean onCreate()>,xxx,<androidx.lifecycle.LifecycleDispatcher: void init(android.content.Context)>,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,-1.0,5.0,5.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1.0,1.0,5.0,1.0,5.0,1.0,1.0,-1.0,5.0,5.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.google.android.gms.common.api.internal.BackgroundDetector: void addListener(com.google.android.gms.common.api.internal.BackgroundDetector$BackgroundStateChangeListener)>,xxx,<com.google.android.gms.common.api.internal.BackgroundDetector: void <clinit>()>,1.0,1.0,12.0,1.0,1.0,3.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,12.0,1.0,1.0,3.0,2.0,1.0,1.0,-1.0,2.0,2.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.facebook.react.ReactInstanceManager: void recreateReactContextInBackgroundInner()>,xxx,"<com.facebook.debug.holder.NoopPrinter: void logMessage(com.facebook.debug.debugoverlay.model.DebugOverlayTag,java.lang.String)>",1.0,1.0,5.0,2.0,0.0,6.0,17.0,1.0,1.0,-1.0,17.0,17.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,5.0,2.0,0.0,6.0,17.0,1.0,1.0,-1.0,17.0,17.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.google.android.gms.tasks.zzm: void onComplete(com.google.android.gms.tasks.Task)>,xxx,<com.google.android.gms.tasks.zzn: void run()>,1.0,1.0,8.0,1.0,16.0,187.0,58.0,1.0,1.0,-1.0,58.0,58.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,8.0,1.0,16.0,187.0,58.0,1.0,1.0,-1.0,58.0,58.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<androidx.appcompat.widget.VectorEnabledTintResources: boolean isCompatVectorFromResourcesEnabled()>,xxx,<androidx.appcompat.widget.VectorEnabledTintResources: void <clinit>()>,1.0,1.0,4.0,1.0,0.0,5.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,1.0,0.0,5.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<expo.modules.filesystem.FileSystemPackage: void <init>()>,xxx,<org.unimodules.core.BasePackage: void <init>()>,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,3.0,1.0,1.0,7.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<com.facebook.react.ReactNativeHost: com.facebook.react.ReactInstanceManager createReactInstanceManager()>,xxx,<com.facebook.react.bridge.ReactMarker: void <clinit>()>,1.0,1.0,3.0,1.0,1.0,38.0,332.0,1.0,1.0,-1.0,332.0,332.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,3.0,1.0,1.0,38.0,332.0,1.0,1.0,-1.0,332.0,332.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<com.google.android.datatransport.runtime.dagger.internal.DoubleCheck: java.lang.Object get()>,xxx,<com.google.android.datatransport.runtime.backends.MetadataBackendRegistry_Factory: com.google.android.datatransport.runtime.backends.MetadataBackendRegistry get()>,1.0,1.0,4.0,22.0,27.0,22.0,28.0,1.0,1.0,-1.0,28.0,28.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,22.0,27.0,22.0,28.0,1.0,1.0,-1.0,28.0,28.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<androidx.lifecycle.ProcessLifecycleOwner$3: void <init>(androidx.lifecycle.ProcessLifecycleOwner)>,xxx,<androidx.lifecycle.EmptyActivityLifecycleCallbacks: void <init>()>,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,4.0,1.0,1.0,2.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
<androidx.fragment.app.FragmentStore: void dispatchStateChange(int)>,xxx,<androidx.arch.core.internal.SafeIterableMap$IteratorWithAdditions: boolean hasNext()>,1.0,1.0,7.0,1.0,0.0,1222.0,451.0,1.0,1.0,-1.0,451.0,451.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,7.0,1.0,0.0,1222.0,451.0,1.0,1.0,-1.0,451.0,451.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,0
<expo.modules.av.AVPackage: void <init>()>,xxx,<org.unimodules.core.BasePackage: void <init>()>,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,3.0,1.0,1.0,7.0,1.0,1.0,1.0,-1.0,1.0,1.0,66368.0,1301292.0,19.607220347155256,442.5729075411207,1
